Jednostka terytorialna;Kod;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Powiat bocheński;011212001000;1294;1309;1275;1233;1214;1176;1130;1091;1083;1057;1089;1184;1203;1204;1334;1188;1244;1217;1153;1258;1159;1215;1305;1284;1261;1185;1031;1083;955;906
Powiat krakowski;011212006000;2761;2822;2552;2587;2474;2495;2496;2280;2225;2255;2311;2225;2477;2732;2821;2764;2739;2703;2651;2681;2687;2810;2895;2987;2795;2830;2668;2368;2246;2164
Powiat miechowski;011212008000;638;612;558;532;513;516;500;487;488;485;450;481;487;515;522;501;466;461;451;495;434;478;473;454;415;461;393;332;344;287
Powiat myślenicki;011212009000;1632;1543;1517;1571;1456;1496;1424;1338;1309;1355;1384;1321;1424;1564;1569;1525;1502;1454;1438;1407;1523;1547;1574;1535;1503;1446;1376;1271;1151;1154
Powiat proszowicki;011212014000;529;554;496;473;486;513;434;412;411;409;426;425;455;412;466;448;444;431;403;412;410;419;445;417;397;392;384;345;289;298
Powiat wielicki;011212019000;1222;1134;1162;1036;1042;1140;1043;1032;975;1013;1079;1095;1166;1279;1232;1316;1334;1255;1281;1252;1323;1352;1487;1469;1401;1461;1441;1346;1212;1293
Powiat m. Kraków;011212161000;6258;6274;6040;6054;5840;5806;5813;5688;5914;6140;6436;6640;6755;7537;7889;7848;7417;7343;7372;7549;8013;8816;9170;9410;9454;9054;8671;8265;7528;7057
Powiat gorlicki;011212205000;1455;1423;1420;1261;1298;1292;1225;1179;1178;1149;1151;1186;1198;1304;1316;1309;1238;1176;1195;1153;1094;1087;1179;1156;1114;982;910;858;836;629
Powiat limanowski;011212207000;1965;1968;1945;1890;1864;1857;1825;1680;1690;1646;1562;1629;1657;1700;1760;1805;1692;1640;1623;1660;1641;1640;1764;1722;1805;1742;1629;1435;1339;1224
Powiat nowosądecki;011212210000;3045;3105;3079;2966;2936;2920;2874;2655;2572;2515;2544;2552;2581;2771;2774;2774;2716;2685;2572;2592;2533;2649;2777;2858;2681;2567;2391;2305;2076;1893
Powiat m. Nowy Sącz;011212262000;1082;1005;941;990;866;973;843;842;864;814;902;888;866;983;940;984;876;876;842;841;844;978;958;908;853;880;817;654;646;580
Powiat chrzanowski;011212303000;1329;1274;1231;1170;1175;1194;1128;1167;1073;1115;1079;1075;1181;1257;1226;1252;1132;1181;1164;1119;1121;1142;1159;1104;1006;893;872;805;686;626
Powiat olkuski;011212312000;1284;1336;1286;1165;1184;1142;1087;990;1025;973;955;987;1101;1161;1129;1187;1069;1088;977;987;926;977;1030;1013;907;857;785;708;617;626
Powiat oświęcimski;011212313000;1695;1638;1629;1573;1506;1397;1408;1423;1328;1388;1364;1417;1536;1648;1600;1603;1530;1494;1525;1447;1508;1474;1528;1397;1504;1324;1218;1123;935;920
Powiat wadowicki;011212318000;1981;1915;1896;1936;1825;1846;1753;1676;1631;1623;1654;1686;1731;1836;1837;1888;1788;1766;1653;1745;1700;1687;1848;1794;1766;1612;1515;1361;1236;1168
Powiat brzeski;011212402000;1274;1248;1220;1160;1111;1053;1025;968;966;941;917;940;994;1084;1075;1051;1006;1016;957;922;869;969;1024;1027;932;891;865;833;727;644
Powiat dąbrowski;011212404000;826;801;767;686;699;675;596;551;536;571;548;519;531;596;605;583;536;588;551;547;571;560;627;633;538;524;534;505;461;386
Powiat tarnowski;011212416000;2698;2626;2448;2452;2404;2310;2154;2127;2095;1990;2020;1940;2016;2228;2201;2128;2037;2119;2035;1992;1980;1976;2158;2100;2054;1947;1776;1687;1485;1429
Powiat m. Tarnów;011212463000;1244;1253;1222;1192;1086;1174;1063;1049;931;991;961;998;954;1059;1039;1013;973;954;933;925;873;899;937;943;897;863;727;704;584;584
Powiat nowotarski;011216911000;2586;2536;2612;2411;2353;2320;2205;2096;2079;1988;2058;1948;2166;2286;2223;2158;2083;2045;1945;1933;1915;2079;2088;2040;2126;1986;1877;1785;1724;1571
Powiat suski;011216915000;1224;1115;1094;1069;1016;1042;1011;927;861;887;923;904;949;983;1012;988;942;926;872;807;911;881;963;874;885;805;772;724;690;648
Powiat tatrzański;011216917000;827;803;748;748;726;781;742;643;645;673;664;612;643;713;716;736;760;699;714;695;686;696;772;739;652;658;633;585;556;507
Powiat bielski;012414402000;1668;1596;1609;1570;1454;1520;1431;1384;1368;1421;1506;1476;1603;1731;1851;1713;1702;1692;1630;1677;1744;1739;1823;1837;1712;1670;1567;1391;1139;1053
Powiat cieszyński;012414403000;1902;1877;1823;1769;1797;1818;1714;1672;1642;1625;1665;1734;1793;1869;1916;2049;1945;1881;1918;1847;1780;1872;1883;1775;1805;1615;1525;1401;1225;1060
Powiat żywiecki;012414417000;1963;1844;1875;1781;1732;1645;1552;1444;1457;1472;1533;1582;1593;1702;1650;1734;1593;1541;1446;1592;1521;1531;1651;1519;1418;1436;1345;1250;1033;1017
