Jednostka terytorialna;Kod;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Powiat bocheński;011212001000;954;910;920;979;921;839;871;901;840;858;891;872;875;888;958;863;864;914;906;915;914;929;907;902;863;1183;1095;1022;921;1012
Powiat krakowski;011212006000;2452;2397;2481;2279;2363;2353;2332;2203;2383;2318;2387;2254;2407;2370;2385;2389;2500;2435;2405;2313;2534;2423;2586;2514;2534;3036;3105;2718;2469;2670
Powiat miechowski;011212008000;755;828;830;766;790;699;690;657;677;722;683;658;645;698;732;621;682;689;654;624;655;611;649;684;644;720;732;684;579;617
Powiat myślenicki;011212009000;907;1021;899;935;993;908;994;896;926;884;931;928;950;1000;981;984;926;986;952;1001;1035;1042;1063;1029;1143;1284;1373;1222;1078;1196
Powiat proszowicki;011212014000;619;580;550;505;594;526;518;486;512;505;537;475;493;459;503;521;471;508;498;451;490;484;490;485;521;517;578;535;488;467
Powiat wielicki;011212019000;966;1015;1045;949;1018;990;954;947;954;883;961;915;947;958;996;967;974;947;970;923;1043;1003;1028;1061;1052;1231;1315;1208;1165;1260
Powiat m. Kraków;011212161000;7277;7171;7310;6985;7075;6907;6911;6645;6839;6738;7026;6919;7167;7116;7198;7081;6995;7334;7173;7061;7598;7151;7663;7835;7929;9119;9469;8632;7942;7559
Powiat gorlicki;011212205000;973;1007;956;919;954;943;965;955;861;996;917;955;874;968;954;941;973;936;1036;953;1026;1020;1014;1029;1036;1182;1368;1173;1102;1113
Powiat limanowski;011212207000;997;979;1036;875;958;903;900;907;982;911;925;977;971;967;963;995;1013;1026;992;1049;1047;1013;1071;1038;1144;1285;1353;1234;1139;1036
Powiat nowosądecki;011212210000;1510;1602;1470;1417;1450;1421;1469;1453;1488;1461;1439;1451;1501;1584;1520;1559;1541;1593;1561;1596;1506;1633;1620;1700;1700;2195;2161;1899;1744;1718
Powiat m. Nowy Sącz;011212262000;671;612;620;591;688;590;593;620;622;628;631;639;604;691;653;630;633;702;766;695;706;741;760;738;813;1011;1010;808;758;819
Powiat chrzanowski;011212303000;1278;1173;1199;1188;1213;1198;1184;1190;1224;1224;1229;1180;1315;1337;1318;1323;1278;1366;1374;1303;1347;1390;1355;1441;1466;1617;1816;1637;1483;1449
Powiat olkuski;011212312000;1256;1230;1299;1198;1326;1231;1144;1071;1081;1076;1069;1111;1107;1101;1073;1153;1097;1125;1148;1178;1165;1152;1288;1295;1273;1449;1493;1412;1254;1321
Powiat oświęcimski;011212313000;1256;1287;1349;1299;1342;1270;1329;1296;1330;1295;1366;1376;1382;1382;1414;1405;1481;1615;1516;1479;1620;1507;1626;1646;1681;1992;2211;1920;1658;1624
Powiat wadowicki;011212318000;1362;1372;1410;1339;1314;1254;1365;1273;1249;1367;1332;1356;1333;1334;1421;1375;1454;1455;1409;1366;1446;1482;1569;1646;1623;1945;2067;1689;1612;1583
Powiat brzeski;011212402000;839;866;872;770;863;774;757;736;793;701;784;763;826;767;804;782;796;820;803;737;809;843;834;840;860;1063;1086;932;819;871
Powiat dąbrowski;011212404000;563;635;592;549;525;533;555;501;566;493;475;516;513;513;545;574;534;546;513;563;572;564;566;568;588;688;742;663;615;573
Powiat tarnowski;011212416000;1688;1599;1567;1517;1553;1479;1450;1512;1597;1477;1588;1605;1642;1693;1673;1645;1697;1639;1660;1629;1722;1700;1740;1717;1848;2196;2275;2015;1766;1803
Powiat m. Tarnów;011212463000;1016;1055;1050;910;1026;944;1014;969;1034;958;1046;1042;1106;1042;980;1003;1003;1022;1025;982;1081;962;1073;1142;1142;1390;1548;1250;1137;1112
Powiat nowotarski;011216911000;1467;1466;1339;1305;1346;1344;1284;1318;1355;1316;1373;1343;1349;1416;1351;1441;1422;1418;1502;1421;1505;1589;1515;1602;1611;1960;2042;1730;1563;1569
Powiat suski;011216915000;843;860;772;791;804;762;759;743;804;773;726;759;773;808;785;778;809;892;804;764;911;835;806;931;856;1012;1088;918;893;883
Powiat tatrzański;011216917000;598;580;628;587;601;635;558;526;598;639;649;603;650;635;633;603;584;620;610;608;652;642;629;624;654;732;798;655;592;580
Powiat bielski;012414402000;1430;1321;1328;1322;1350;1275;1339;1210;1360;1281;1296;1275;1336;1315;1390;1414;1430;1479;1380;1366;1504;1528;1548;1600;1563;1914;2134;1709;1622;1584
Powiat cieszyński;012414403000;1614;1654;1512;1560;1643;1577;1516;1515;1548;1488;1545;1580;1608;1594;1747;1655;1712;1695;1677;1576;1769;1802;1924;1943;1845;2312;2581;2048;1995;2116
Powiat żywiecki;012414417000;1555;1545;1562;1525;1577;1513;1542;1471;1523;1435;1598;1461;1492;1611;1634;1551;1568;1562;1535;1547;1637;1635;1685;1720;1760;2037;2240;1936;1674;1727
Powiat m. Bielsko-Biała;012414461000;1597;1704;1620;1549;1598;1562;1518;1589;1632;1497;1600;1504;1724;1603;1698;1706;1688;1733;1698;1798;1791;1736;1913;1865;1860;2129;2298;2021;1907;1893
Powiat lubliniecki;012414507000;757;740;720;744;741;717;692;674;727;714;712;641;709;698;791;739;741;742;746;711;777;813;837;793;836;1042;1004;903;782;855
Powiat tarnogórski;012414513000;1149;1105;1153;1251;1219;1317;1271;1209;1205;1255;1224;1314;1297;1338;1370;1235;1334;1305;1377;1386;1402;1310;1424;1484;1455;1660;1874;1656;1538;1516
Powiat m. Bytom;012414562000;2258;2238;2294;2056;2100;2012;2055;1850;1849;1906;2046;1982;2120;1983;2031;2041;2002;2124;2094;1998;2155;2046;2140;2123;2128;2604;2721;2320;2124;2008
Powiat m. Piekary Śląskie;012414571000;724;648;708;634;680;667;643;644;683;655;652;611;651;672;670;608;683;686;598;644;704;672;669;701;667;740;844;755;702;634
Powiat częstochowski;012414604000;1706;1638;1591;1580;1608;1560;1551;1532;1527;1503;1575;1527;1612;1650;1600;1656;1533;1549;1555;1501;1573;1574;1680;1648;1627;1830;2071;1778;1629;1594
Powiat kłobucki;012414606000;964;977;921;929;937;900;904;840;870;851;787;836;956;895;895;886;820;875;944;895;967;922;927;975;880;1129;1183;989;967;936
Powiat myszkowski;012414609000;805;862;820;785;867;809;845;833;833;780;882;810;872;840;871;846;777;809;841;784;865;841;877;898;850;962;1075;901;821;908
Powiat m. Częstochowa;012414664000;2742;2756;2674;2609;2819;2609;2668;2615;2609;2633;2758;2668;2779;2726;2640;2737;2688;2703;2814;2739;2750;2814;2926;2972;2887;3327;3601;3183;2917;2763
Powiat gliwicki;012414705000;1089;1063;1141;1119;1120;1089;1037;1025;987;1093;1052;1083;1072;1132;1206;1100;1091;1121;1075;1170;1148;1134;1106;1262;1125;1403;1507;1330;1190;1226
