Jednostka terytorialna;Kod;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Powiat bocheński;011212001000;96318;96904;97185;97516;97048;97328;97602;97962;98394;100063;100332;100726;101204;101602;102181;103231;103869;104404;104765;105083;105416;105747;106096;106514;106858;106838;106715;106878;106946
Powiat krakowski;011212006000;230334;231611;232998;234137;236184;237052;237972;239344;241080;242731;244283;245944;247903;250395;253344;259261;261857;264639;266649;268517;270490;272591;274843;277145;279239;295640;298107;300289;302347
Powiat miechowski;011212008000;54053;53628;53362;53199;52333;51989;51775;51615;51560;51085;50927;50763;50577;50324;50114;50585;50327;50109;49966;49824;49592;49505;49315;49137;48818;47756;47346;46998;46667
Powiat myślenicki;011212009000;109168;109957;110948;111768;111924;112820;113526;114067;114949;115761;116484;117199;118066;119003;119975;121646;122599;123327;123991;124482;125020;125647;126339;127028;127600;129108;129391;129538;129843
Powiat proszowicki;011212014000;45009;44972;44885;44823;43691;43636;43713;43721;43659;43605;43497;43470;43424;43361;43419;43987;43995;43945;43864;43892;43716;43648;43658;43523;43222;42760;42522;42268;42005
Powiat wielicki;011212019000;97494;98074;98599;99215;100380;100989;101722;102636;103808;103676;104788;105943;107305;108767;110400;113559;115356;116799;118553;120064;121534;123251;125197;127078;129136;138515;140291;142044;143628
Powiat m. Kraków;011212161000;744987;740675;740537;740666;755355;758715;757942;757547;757685;757430;756629;756267;756583;754624;755000;757740;759137;758334;758992;761873;761069;765320;767348;771069;779115;800531;802583;803282;806201
Powiat gorlicki;011212205000;107057;107528;107845;108036;105933;106034;106206;106305;106444;106603;106544;106676;106591;106799;107017;109175;109225;109265;109201;109181;109140;109049;109076;109104;108886;106921;106278;105782;105322
Powiat limanowski;011212207000;114310;115179;116218;116965;116774;117595;118577;119449;120222;121007;121508;122128;122685;123405;124278;126737;127387;128045;128545;129073;129699;130289;130964;131523;131764;131145;131332;131549;131654
Powiat nowosądecki;011212210000;184960;186527;188158;189667;188925;190869;192359;193540;194983;196054;197279;198630;200015;201412;202701;207467;208715;209988;211045;211830;212894;213864;214999;216176;216796;214502;214661;214933;215034
Powiat m. Nowy Sącz;011212262000;82301;82877;83290;83754;83899;84370;84453;84421;84399;84463;84729;84487;84468;84475;84556;84368;84325;84129;83943;83853;83903;83993;84041;83896;83794;81435;80979;80587;80358
Powiat chrzanowski;011212303000;131551;131657;131496;131404;129753;129394;129111;129030;128741;128608;128313;128093;127859;127692;127645;128130;127848;127644;127301;126845;126463;126054;125725;125385;124536;121759;120694;119719;118684
Powiat olkuski;011212312000;124249;124387;124420;124299;122079;121796;121717;114961;114741;114568;114402;114138;113993;114013;113893;114922;114688;114458;114073;113650;113148;112863;112539;112035;111217;108923;107867;106843;105900
Powiat oświęcimski;011212313000;153499;153914;154178;154316;151768;151842;151951;153321;153136;153457;153475;153239;153238;153517;153602;155114;155082;155040;155040;154977;154819;154581;154292;153737;153486;151300;150192;149304;148415
Powiat wadowicki;011212318000;152045;152599;153106;153793;152785;153328;153803;153045;153438;153781;154201;154440;154899;155515;155923;158031;158354;158740;158983;159233;159538;159673;159938;160130;160006;158764;158230;157855;157473
Powiat brzeski;011212402000;88000;88263;88732;89251;88622;88845;89118;89409;89739;89919;90116;90268;90508;90967;91297;92234;92403;92645;92781;92908;92983;93001;93164;93206;93201;92297;91992;91823;91670
Powiat dąbrowski;011212404000;58341;58518;58673;58652;58317;58327;58383;58409;58617;58607;58657;58605;58529;58734;58664;59509;59499;59492;59513;59471;59374;59342;59311;59350;59174;58294;57991;57809;57550
Powiat tarnowski;011212416000;175684;176762;177957;178926;179676;180414;181591;182823;191803;192656;193399;193781;194487;195037;195908;197714;198276;199062;199675;200085;200600;200886;201268;201570;201497;198525;198038;197717;197335
Powiat m. Tarnów;011212463000;121926;122359;121734;121494;120433;120822;120085;119564;118668;118267;117560;116967;116118;115518;115158;114176;113593;112952;112120;111376;110644;110110;109650;109062;108470;106596;105014;103960;103129
Powiat nowotarski;011216911000;174157;175246;176357;177396;176391;177409;178408;179350;179966;180739;181587;182165;183069;184231;185161;187925;188602;189268;189623;190128;190517;190757;191266;191508;191782;190626;190232;190143;190107
Powiat suski;011216915000;79862;80143;80394;80826;80514;80645;81016;81402;81535;81786;82016;82081;82347;82597;82736;83863;84019;83961;84111;84140;84175;84184;84317;84255;84232;83429;83214;83127;82886
Powiat tatrzański;011216917000;64881;65284;65558;65782;65081;64920;65238;65296;65382;65335;65461;65196;65168;65148;65298;67325;67640;67831;67847;67851;67884;67905;68034;68146;68072;67028;66701;66566;66478
Powiat bielski;012414402000;142834;143677;144737;145452;144922;145772;146603;147453;148249;149361;150281;151505;152695;153987;155571;157119;158209;159241;160405;161359;162128;162926;164003;165000;165960;165477;165650;165836;165824
