Jednostka terytorialna;Kod;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Powiat bocheński;011212001000;6733;7086;6926;6852;6452;6716;6964;7302;7821;7942;8199;8400;8527;8617;8716;8895;9239;9724;10140;10608;11032;11472;11881
Powiat krakowski;011212006000;18771;19419;19630;19805;20058;20521;21385;22781;24640;25192;26405;27237;28069;28740;29358;30334;31845;33689;35421;37498;39478;41427;43235
Powiat miechowski;011212008000;3341;3535;3609;3581;3713;3821;4026;4059;4209;4125;4218;4295;4367;4390;4427;4468;4607;4716;4880;4984;5091;5179;5292
Powiat myślenicki;011212009000;8222;8561;8687;8836;9177;9664;10021;10310;11080;11141;11419;11678;11948;12108;12314;12689;13257;14026;14546;15114;15588;16197;16742
Powiat proszowicki;011212014000;2479;2606;2632;2639;2682;2725;2817;2846;3022;3024;3162;3304;3325;3402;3458;3544;3737;3885;3991;4240;4398;4561;4742
Powiat wielicki;011212019000;8300;8742;8911;9109;9253;9551;10069;10554;11416;11744;12387;12891;13318;13736;14060;14597;15305;16201;17093;18120;19293;20267;21248
Powiat m. Kraków;011212161000;99133;102427;104051;104292;104426;104349;105610;110170;115687;116153;121208;124501;126547;130233;134514;138515;140500;146919;152837;160013;168231;176924;185556
Powiat gorlicki;011212205000;5910;6031;5762;5814;5824;6082;6364;6705;7120;7338;7521;7722;7727;7818;7842;7837;8084;8485;8759;9002;9136;9293;9491
Powiat limanowski;011212207000;6166;6331;6167;6326;6594;6902;7391;7976;8631;8622;8787;8948;9341;9621;9880;10054;10615;11193;11888;12480;12874;13211;13679
Powiat nowosądecki;011212210000;9426;9755;9420;9733;10303;10852;11674;12549;13352;13621;14179;14643;15029;15426;15721;16058;17034;18025;19026;20026;20607;21168;21827
Powiat m. Nowy Sącz;011212262000;7855;7913;7906;7989;7974;8108;8456;8934;9366;9293;9454;9511;9556;9682;9750;9863;9874;10143;10492;10790;11057;11250;11475
Powiat chrzanowski;011212303000;10256;10527;10684;10757;10780;10783;10882;11074;11605;11381;11566;11712;11774;11693;11732;11862;12070;12439;12743;13150;13444;13718;14094
Powiat olkuski;011212312000;11159;11432;11713;11695;11572;11652;11658;11662;12079;11611;11810;11821;11777;11798;11750;11821;12031;12338;12625;12881;13154;13366;13724
Powiat oświęcimski;011212313000;11856;12069;12548;12717;12687;12793;12949;13187;13950;13649;14003;14139;14147;14185;14132;14227;14548;14969;15344;15676;15993;16391;16754
Powiat wadowicki;011212318000;14314;14725;14865;14738;14849;14967;15210;15382;15809;15637;15910;16001;16139;16206;16326;16496;16975;17612;18128;18709;19052;19403;19882
Powiat brzeski;011212402000;5546;5840;5593;5441;4860;4983;5211;5433;5757;5796;6032;6231;6381;6485;6590;6857;7277;7809;8208;8636;9003;9353;9672
Powiat dąbrowski;011212404000;2568;2691;2562;2501;2392;2424;2559;2737;2929;2932;3009;3048;3120;3164;3217;3339;3585;3778;3931;4085;4185;4380;4503
Powiat tarnowski;011212416000;8513;9363;8974;8975;8303;8490;8946;9548;10359;10484;11026;11456;11725;12013;12259;12575;13284;14249;14901;15722;16473;17134;17764
Powiat m. Tarnów;011212463000;10833;11075;10879;10731;10016;10079;10158;10666;11067;10851;11140;11213;11185;11400;11442;11549;11686;12013;12326;12644;12847;13059;13250
Powiat nowotarski;011216911000;12018;12266;11930;11853;12137;12620;12937;13447;14170;14094;14564;14810;15185;15407;15575;16063;16930;17802;18674;19607;20347;21066;21725
Powiat suski;011216915000;6939;7231;7159;7086;7018;7078;7245;7292;7599;7497;7635;7677;7757;7812;7947;8061;8320;8627;8872;9205;9465;9660;9858
Powiat tatrzański;011216917000;7842;8191;8165;8242;8298;8685;9041;9403;9695;9468;9741;9836;9841;9947;10097;10316;10736;11207;11481;11959;12286;12627;12916
Powiat bielski;012414402000;13727;14123;13803;13748;13823;14052;14342;14748;15706;15771;16172;16475;16794;16964;17008;17243;17621;18256;18802;19642;20290;20901;21451
Powiat cieszyński;012414403000;17740;17782;17547;17201;17203;17283;17439;17732;18718;18503;19040;19262;19412;19534;19547;19457;19586;20080;20649;21400;21879;22438;22859
Powiat żywiecki;012414417000;11851;12021;11995;11970;12117;12373;12654;12855;13490;12996;13296;13536;13676;13813;13919;14038;14478;15146;15660;16403;16974;17413;17919
Powiat m. Bielsko-Biała;012414461000;24852;24517;23977;23575;23365;23368;23476;23979;24937;24626;25163;25513;25612;25902;26107;26242;26041;26349;27075;27799;28220;28846;29661
Powiat lubliniecki;012414507000;5462;5480;5491;5547;5514;5541;5680;5518;5855;5715;5940;6095;6157;6293;6344;6478;6652;6949;7155;7385;7650;7802;8000
Powiat tarnogórski;012414513000;12074;12422;12663;12496;12544;12856;13096;13257;14101;13981;14344;14661;14945;15251;15431;15630;15902;16366;16899;17599;18129;18521;19003
