variable,coef,se,ci_lo,ci_hi,event_time,outcome
et_neg4,0.043740795228262415,0.012797649042964376,0.01865740310405224,0.06882418735247259,-4.0,ln_population
et_neg3,0.04665675879723404,0.012409489794237966,0.02233415880052763,0.07097935879394046,-3.0,ln_population
et_neg2,0.04873159392381794,0.012060273069666786,0.025093458707271043,0.07236972914036484,-2.0,ln_population
et_neg1_ref,0.0,0.0,0.0,0.0,-1.0,ln_population
et_0,0.058582713219142955,0.010760545995347252,0.03749204306826234,0.07967338337002357,0.0,ln_population
et_1,0.05922681625728392,0.01045827854145546,0.038728590316031215,0.07972504219853663,1.0,ln_population
et_2,0.05802029884291859,0.010137074622739582,0.03815163258234901,0.07788896510348817,2.0,ln_population
et_3,0.06676106769733381,0.009318642577969048,0.048496528244514475,0.08502560715015314,3.0,ln_population
et_4,0.061436088826198464,0.009682710703362938,0.042457975847607105,0.08041420180478982,4.0,ln_population
et_5,0.06045212445201049,0.009343861454833905,0.04213815600053603,0.07876609290348494,5.0,ln_population
et_6,0.058502832645389524,0.00891631523937578,0.041026854776213,0.07597881051456605,6.0,ln_population
et_7,0.05598809713361875,0.008614416762762247,0.039103840278604744,0.07287235398863276,7.0,ln_population
et_8,0.05280236268384765,0.00831213165456798,0.036510584640894406,0.0690941407268009,8.0,ln_population
et_9,0.05036984058405691,0.007925902050262668,0.03483507256554209,0.06590460860257175,9.0,ln_population
et_10,0.04783256499907346,0.007686328959860385,0.0327673602377471,0.06289776976039982,10.0,ln_population
et_11,0.028436149462649548,0.006758088019144448,0.015190296945126431,0.04168200198017266,11.0,ln_population
et_12,0.02539344208025437,0.006404835202120836,0.012839965084097533,0.037946919076411206,12.0,ln_population
et_13,0.02279463903320223,0.006127730846703178,0.010784286573664002,0.03480499149274046,13.0,ln_population
et_14,0.022338262918725087,0.004722374122292738,0.01308240963903132,0.031594116198418856,14.0,ln_population
et_15,0.019013530670227284,0.00438090522821554,0.010426956422924825,0.027600104917529743,15.0,ln_population
et_16,0.016649991677320213,0.003969306918229781,0.008870150117589843,0.024429833237050586,16.0,ln_population
et_17,0.013905306163760888,0.0036529958256378476,0.006745434345510707,0.021065177982011067,17.0,ln_population
et_18,0.012189690238357857,0.0033926700200350548,0.00554005699908915,0.018839323477626565,18.0,ln_population
et_19,0.009183435135510587,0.0031227012666715124,0.003062940652834423,0.015303929618186753,19.0,ln_population
et_20,0.006712524863913946,0.0029668352080838446,0.0008975278560696106,0.01252752187175828,20.0,ln_population
et_neg1_ref,0.0,0.0,0.0,0.0,-1.0,firms_per_1k
et_3,7.900168417821959,3.2679992552330543,1.494889877565173,14.305446958078745,3.0,firms_per_1k
et_4,6.8147073677672285,3.176537379738609,0.588694103479555,13.040720632054903,4.0,firms_per_1k
et_5,6.530008011103105,3.1179793554340955,0.4187684744522775,12.641247547753931,5.0,firms_per_1k
et_6,5.831586323171775,2.898990651260601,0.14956464670099745,11.513607999642552,6.0,firms_per_1k
et_7,3.32960342059076,2.840493257996394,-2.2377633650821718,8.896970206263692,7.0,firms_per_1k
et_8,2.871599211971469,2.6641545855792406,-2.350143775763842,8.09334219970678,8.0,firms_per_1k
et_9,2.4506333687227757,2.511628170002116,-2.472157844481371,7.373424581926923,9.0,firms_per_1k
et_10,3.8240144347797975,2.1159199254366037,-0.32318861907594565,7.97121748863554,10.0,firms_per_1k
et_11,4.762646247944898,1.8867408976030207,1.0646340886429773,8.460658407246818,11.0,firms_per_1k
et_12,3.0476769399305343,1.6311649710486784,-0.1494064033248752,6.2447602831859435,12.0,firms_per_1k
et_13,3.4856233349794956,1.4733215852589352,0.5979130278719826,6.373333642087008,13.0,firms_per_1k
et_14,3.298795067986605,1.3184237906752838,0.7146844382630486,5.882905697710161,14.0,firms_per_1k
et_15,2.8082499421570377,1.189741353104734,0.47635689007175896,5.140142994242316,15.0,firms_per_1k
et_16,2.703471610246277,1.0142394168176307,0.7155623532837208,4.691380867208833,16.0,firms_per_1k
et_17,2.3699870376416077,0.868609205121325,0.6675129956038106,4.072461079679405,17.0,firms_per_1k
et_18,1.995402189011193,0.7285697915007978,0.5674053976696294,3.423398980352757,18.0,firms_per_1k
et_19,-0.6542949623244294,0.6661223086958854,-1.9598946873683647,0.6513047627195059,19.0,firms_per_1k
et_20,-1.3925617338694158,0.4659639770205572,-2.305851128829708,-0.4792723389091238,20.0,firms_per_1k
et_neg1_ref,0.0,0.0,0.0,0.0,-1.0,unemployment
et_5,-2.558182366542729,0.7196993815278111,-3.968793154337239,-1.1475715787482192,5.0,unemployment
et_6,-2.3267658590529887,0.6629967689245656,-3.6262395261451372,-1.0272921919608402,6.0,unemployment
