outcome,beta,se,ci_lo_95,ci_hi_95,baseline_mean,policy_magnitude,horizon_years
ln_population,0.0604521244520104,0.0093438614548339,0.042138156000535956,0.07876609290348484,11.466181047810078,+6.2% (95% CI: +4.3% to +8.2%),5
ln_population,0.0478325649990734,0.0076863289598603,0.03276736023774721,0.06289776976039958,11.466181047810078,+4.9% (95% CI: +3.3% to +6.5%),10
ln_population,0.0190135306702272,0.0043809052282155,0.01042695642292482,0.02760010491752958,11.466181047810078,+1.9% (95% CI: +1.0% to +2.8%),15
ln_population,0.0067125248639139,0.0029668352080838,0.0008975278560696522,0.012527521871758148,11.466181047810078,+0.7% (95% CI: +0.1% to +1.3%),20
firms_per_1k,6.530008011103105,3.1179793554340955,0.4187684744522775,12.641247547753931,,Δ+6.53 pp (95% CI: +0.42 to +12.64); ≈+nan% of pre-reform mean,5
firms_per_1k,3.8240144347797975,2.115919925436604,-0.32318861907594654,7.971217488635542,,Δ+3.82 pp (95% CI: -0.32 to +7.97); ≈+nan% of pre-reform mean,10
firms_per_1k,2.8082499421570377,1.189741353104734,0.47635689007175896,5.140142994242316,,Δ+2.81 pp (95% CI: +0.48 to +5.14); ≈+nan% of pre-reform mean,15
firms_per_1k,-1.3925617338694158,0.4659639770205572,-2.305851128829708,-0.4792723389091238,,Δ-1.39 pp (95% CI: -2.31 to -0.48); ≈+nan% of pre-reform mean,20
unemployment,-2.558182366542729,0.7196993815278111,-3.968793154337239,-1.1475715787482192,,Δ-2.56 pp (95% CI: -3.97 to -1.15); ≈+nan% of pre-reform mean,5
unemployment,-1.443192922489271,0.4165807410292356,-2.259691174906573,-0.6266946700719692,,Δ-1.44 pp (95% CI: -2.26 to -0.63); ≈+nan% of pre-reform mean,10
unemployment,-0.7344465668041438,0.4108495200543764,-1.5397116261107215,0.070818492502434,,Δ-0.73 pp (95% CI: -1.54 to +0.07); ≈+nan% of pre-reform mean,15
unemployment,0.3906162662108864,0.1390934291530793,0.11799314507085101,0.6632393873509218,,Δ+0.39 pp (95% CI: +0.12 to +0.66); ≈+nan% of pre-reform mean,20
ln_wages_avg,0.001323643942513,0.015714678012604,-0.029477124962190838,0.032124412847216836,,+0.1% (95% CI: -2.9% to +3.3%),5
ln_wages_avg,-0.0045164641937645,0.015134139874245,-0.034179378347284704,0.025146449959755703,,-0.5% (95% CI: -3.4% to +2.5%),10
ln_wages_avg,-0.0203371125515607,0.0141736866463234,-0.048117538378354564,0.007443313275233163,,-2.0% (95% CI: -4.7% to +0.7%),15
ln_wages_avg,-0.0160571166835936,0.012230200514469,-0.04002830969195284,0.00791407632476564,,-1.6% (95% CI: -3.9% to +0.8%),20
nat_change_rate,0.7607631527554293,0.2476485994314129,0.27537189786986,1.2461544076409985,1.7588309170069159,Δ+0.76 pp (95% CI: +0.28 to +1.25); ≈+43.3% of pre-reform mean,5
nat_change_rate,0.7646206584141011,0.2148710365279258,0.34347342681936655,1.1857678900088358,1.7588309170069159,Δ+0.76 pp (95% CI: +0.34 to +1.19); ≈+43.5% of pre-reform mean,10
nat_change_rate,0.1031871715941752,0.186344415703417,-0.2620478831845221,0.46842222637287256,1.7588309170069159,Δ+0.10 pp (95% CI: -0.26 to +0.47); ≈+5.9% of pre-reform mean,15
nat_change_rate,0.1242005041195417,0.1545313286382278,-0.17868090001138476,0.42708190825046816,1.7588309170069159,Δ+0.12 pp (95% CI: -0.18 to +0.43); ≈+7.1% of pre-reform mean,20
birth_rate,-0.4047496852770135,0.140404652295886,-0.67994280377695,-0.12955656677707694,10.18659209194954,Δ-0.40 pp (95% CI: -0.68 to -0.13); ≈-4.0% of pre-reform mean,5
birth_rate,-0.2721751543085142,0.1462852959163932,-0.5588943343046449,0.01454402568761648,10.18659209194954,Δ-0.27 pp (95% CI: -0.56 to +0.01); ≈-2.7% of pre-reform mean,10
birth_rate,-0.1705121487898817,0.1134460730286721,-0.392866451926079,0.051842154346315616,10.18659209194954,Δ-0.17 pp (95% CI: -0.39 to +0.05); ≈-1.7% of pre-reform mean,15
birth_rate,0.0915620017253339,0.1166247869715024,-0.1370225807388108,0.3201465841894786,10.18659209194954,Δ+0.09 pp (95% CI: -0.14 to +0.32); ≈+0.9% of pre-reform mean,20
death_rate,-1.1655128380324438,0.1448956496052762,-1.4495083112587852,-0.8815173648061024,8.427761174942624,Δ-1.17 pp (95% CI: -1.45 to -0.88); ≈-13.8% of pre-reform mean,5
death_rate,-1.0367958127226151,0.1180259681004738,-1.2681267101995437,-0.8054649152456865,8.427761174942624,Δ-1.04 pp (95% CI: -1.27 to -0.81); ≈-12.3% of pre-reform mean,10
death_rate,-0.2736993203840566,0.1158494674656947,-0.5007642766168182,-0.04663436415129499,8.427761174942624,Δ-0.27 pp (95% CI: -0.50 to -0.05); ≈-3.2% of pre-reform mean,15
death_rate,-0.032638502394208,0.0923792668857222,-0.21370186549022352,0.1484248607018075,8.427761174942624,Δ-0.03 pp (95% CI: -0.21 to +0.15); ≈-0.4% of pre-reform mean,20
